state,geometry
Arizona,"POLYGON ((-112.538593055121 37.0006737215344, -112.534544579446 37.0006844908925, -112.368946 37.001125, -112.35769 37.001025, -111.412783987873 37.001477687156, -111.405869 37.001481, -111.405517 37.001497, -111.189888 37.000959, -110.75069 37.003197, -110.495259 37.003875, -110.33105 36.998216, -110.000677 36.997968, -109.381226 36.999148, -109.378039 36.999135, -109.270097 36.999266, -109.268213 36.999242, -109.26339 36.999263, -109.246917 36.999346, -109.233848 36.999266, -109.181196 36.999271, -109.045223 36.999084, -109.045244 36.969489, -109.045272 36.968871, -109.045407 36.874998, -109.045433 36.874589, -109.045973 36.002338, -109.046011 35.925896, -109.046054 35.92586, -109.046055 35.888721, -109.046024 35.8798, -109.046295 35.616517, -109.046296 35.614251, -109.046509 35.54644, -109.046481 35.546326, -109.046081847386 35.17466549761659, -109.045851 34.959718, -109.046156 34.579291, -109.046182 34.52255299999999, -109.046182 34.522393, -109.046627302986 33.778232811088, -109.04687 33.372654, -109.047045 33.36928, -109.046909 33.36557, -109.046827 33.365272, -109.047237 33.208965, -109.047116 33.137995, -109.047117 33.137559, -109.047013 33.092917, -109.046905 33.091931, -109.047453 33.069427, -109.04748 33.06842, -109.047117 32.77757, -109.047117006192 32.7775690000383, -109.047638 32.693439, -109.047645 32.689988, -109.047653 32.686327, -109.047653 32.681379, -109.047925541814 32.4263758756447, -109.048286 32.089114, -109.048296 32.084093, -109.048731 32.028174, -109.048599 32.013651, -109.04859 31.870791, -109.048769 31.861383, -109.048763 31.810776, -109.049195 31.796551, -109.049813 31.499528, -109.049843 31.499515, -109.050044 31.332502, -109.426931 31.334033, -110.460172434994 31.3330510220791, -110.760997174231 31.3327651225381, -110.976828 31.33256, -111.098097 31.339836, -111.366635447074 31.4258801064637, -111.57953 31.494095, -112.246102 31.704195, -112.867074 31.895488, -113.125961 31.97278, -113.333794099775 32.03852132740379, -113.493196 32.088943, -114.250775 32.32391, -114.813613 32.494277, -114.809393 32.617119, -114.80739 32.621332, -114.799302 32.625115, -114.781872 32.62505, -114.753111 32.658304, -114.748 32.664184, -114.719633 32.718763, -114.678632 32.736614, -114.677091 32.736218, -114.65884 32.73383, -114.65826 32.733799, -114.615585 32.728446, -114.615733 32.729427, -114.496827 32.822119, -114.496284 32.822326, -114.465715 32.879191, -114.465715 32.87942, -114.46289 32.905797, -114.468605 32.971649, -114.511343 33.023455, -114.516911529129 33.0268712141103, -114.523578 33.030961, -114.571653 33.036624, -114.578287 33.035375, -114.584765 33.028231, -114.589778 33.026228, -114.606282 33.025703, -114.62387 33.02872, -114.675104 33.047532, -114.707819 33.091102, -114.706175 33.105335, -114.696829 33.131209, -114.687074 33.142196, -114.679359 33.159519, -114.67536 33.185489, -114.672088 33.258499, -114.700103 33.341045, -114.721233 33.396912, -114.665278 33.415358, -114.627125 33.433554, -114.622918 33.456561, -114.594534 33.495059, -114.558898 33.531819, -114.535664 33.568788, -114.535965 33.569154, -114.5403 33.580615, -114.540617 33.591412, -114.530348 33.679245, -114.523959 33.685879, -114.519113 33.688473, -114.496489 33.696901, -114.494197 33.707922, -114.50434 33.756381, -114.523365 33.80612, -114.525539 33.838614, -114.518434 33.917518, -114.499883 33.961789, -114.46361 33.993431, -114.438266 34.022609, -114.434949 34.03778399999999, -114.435429 34.079727, -114.43338 34.088413, -114.420499 34.103466, -114.411681 34.110031, -114.401352 34.111652, -114.390565 34.110084, -114.366521 34.118575, -114.321618 34.138093, -114.312592 34.144453, -114.244191 34.179625, -114.225861 34.201774, -114.164476 34.251667, -114.133264 34.258462, -114.131489 34.260387, -114.138282 34.30323, -114.176909 34.349306, -114.199482 34.361373, -114.264317 34.401329, -114.339627 34.451435, -114.452547 34.65349399999999, -114.465607 34.69226, -114.552682 34.766871, -114.633051 34.869971, -114.635176 34.875003, -114.636725 34.889107, -114.630877 34.907263, -114.629015 34.986148, -114.62919 34.991887, -114.633013 35.002085, -114.633543520365 35.0156440049888, -114.635468861963 35.02826564043229, -114.621955957791 35.0946777853476, -114.59912 35.12105, -114.5843 35.124999, -114.578524 35.12875, -114.572747 35.138725, -114.569569 35.163053, -114.569238 35.18348, -114.595931 35.325234, -114.604314 35.353584, -114.627137 35.409504, -114.652005 35.429165, -114.662125 35.444241, -114.677643 35.489742, -114.676733075807 35.4990630684326, -114.674980589443 35.5105637384422, -114.671147033481 35.52064051593401, -114.653806 35.59949, -114.653406 35.610789, -114.657506 35.618289, -114.676707 35.640989, -114.689407 35.651412, -114.700308 35.700387, -114.70771 35.811885, -114.705611 35.848884, -114.704211 35.851984, -114.70612966013 35.878711660344, -114.731296 35.945157, -114.743576 35.983721, -114.755618 36.087166, -114.744857 36.098693, -114.736165 36.104367, -114.631716 36.142306, -114.572031 36.15161, -114.513256 36.151217, -114.381446 36.141665, -114.365835 36.133722, -114.328777 36.105501, -114.310856779087 36.0837872038788, -114.30723532965 36.0765443150304, -114.303613885226 36.066455998402, -114.292663 36.051118, -114.263146 36.025937, -114.252651 36.020193, -114.238799 36.014561, -114.233289 36.014289, -114.21369 36.015613, -114.15413 36.023862, -114.148774 36.02731, -114.138202 36.041284, -114.125796 36.077531, -114.120193 36.102228, -114.063021 36.18694199999999, -114.060302 36.189363, -114.046838 36.194069, -114.047106 36.250591, -114.048515 36.289598, -114.046403 36.371873, -114.046488 36.473449, -114.050562 36.656259, -114.050577891146 36.8001729803799, -114.050582635744 36.84314118513019, -114.0506 37.00039599999999, -113.965907 37.000025, -113.965907 36.999976, -112.966471 37.000219, -112.899365903383 37.0003194646174, -112.609787 37.000753, -112.558974 37.000692, -112.545094 37.000734, -112.540368 37.00066899999999, -112.538593055121 37.0006737215344))"
Arkansas,"POLYGON ((-94.042964 33.019219, -94.043036 33.079485, -94.04286999999999 33.092727, -94.04300699999999 33.13389, -94.043077 33.138162, -94.04318499999999 33.143476, -94.042875 33.199785, -94.04289199999999 33.202666, -94.04287599999999 33.215219, -94.04272999999999 33.241823, -94.043004 33.250128, -94.04304999999999 33.260904, -94.04298999999999 33.271227, -94.04299002100379 33.2712431677481, -94.04306699999999 33.330498, -94.04306699999999 33.347351, -94.04306699999999 33.352097, -94.043128 33.358757, -94.042869 33.37117, -94.043053 33.377716, -94.04288699999999 33.42022499999999, -94.04298799999999 33.431024, -94.04298799999999 33.435824, -94.043188 33.470324, -94.043279 33.49102999999999, -94.043009 33.493039, -94.043375 33.54231499999999, -94.04342799999999 33.551425, -94.04344999999999 33.552253, -94.066846 33.568909, -94.08524299999999 33.575546, -94.181805 33.593217, -94.252656 33.586144, -94.257801 33.582508, -94.35594499999999 33.54318, -94.409329 33.568265, -94.46433599999999 33.598819, -94.470963 33.60594, -94.47836649780139 33.6208469086288, -94.48587499999999 33.637867, -94.48557699999999 33.65331, -94.485528 33.663388, -94.48451999999999 33.687909, -94.484616 33.691592, -94.48384 33.711332, -94.483874 33.716733, -94.48286999999999 33.750564, -94.482862 33.75078, -94.482777 33.753638, -94.482682 33.756286, -94.481842 33.789008, -94.481543 33.795719, -94.48136099999999 33.802649, -94.48135499999999 33.802887, -94.48057399999999 33.830166, -94.47995399999999 33.85133, -94.478994 33.881197, -94.478842 33.881485, -94.47738699999999 33.937759, -94.4773181199803 33.9409324150055, -94.47703799999999 33.953838, -94.476957 33.957365, -94.47489499999999 34.019655, -94.474896 34.021838, -94.474896 34.021877, -94.4702923271421 34.189864, -94.465847 34.352073, -94.465425 34.359548, -94.46417599999999 34.402713, -94.46381599999999 34.414465, -94.46367099999999 34.419585, -94.46114899999999 34.507457, -94.46005799999999 34.545264, -94.46005199999999 34.547869, -94.45750000000001 34.634945, -94.45752999999999 34.642961, -94.45457614528959 34.7289624171492, -94.450233 34.855413, -94.45013999999999 34.858694, -94.450065 34.861335, -94.44963 34.875253, -94.44905799999999 34.890556, -94.44908599999999 34.894152, -94.449253 34.895869, -94.4478888293082 34.9339411144754, -94.441232 35.119724, -94.440754 35.128806, -94.43955 35.169037, -94.439509 35.171807, -94.43905599999999 35.193588, -94.43908399999999 35.197298, -94.43847 35.208587, -94.43824699999999 35.210992, -94.43777399999999 35.239271, -94.437578 35.242202, -94.435812 35.2713, -94.435706 35.274267, -94.435316 35.275893, -94.43527999999999 35.287485, -94.43517 35.291494, -94.43411499999999 35.306493, -94.431815 35.362891, -94.43268499999999 35.380806, -94.4337424273008 35.3864671046955, -94.433915 35.387391, -94.43121499999999 35.39429, -94.4317891924687 35.3976591753208, -94.463318 35.58266, -94.464097 35.587265, -94.464457 35.588909, -94.465272 35.594037, -94.47264699999999 35.638556, -94.487585 35.726147, -94.48821 35.72924, -94.49293185276809 35.7591658417281, -94.49336199999999 35.761892, -94.49454899999999 35.768303, -94.499045 35.79346, -94.499647 35.79691, -94.50052599999999 35.802642, -94.50076399999999 35.80382, -94.50116199999999 35.80643, -94.503011 35.81721, -94.50443799999999 35.826369, -94.50564199999999 35.833628, -94.50763099999999 35.845901, -94.52265799999999 35.93425, -94.52265799999999 35.934799, -94.522634 35.934892, -94.52291 35.936127, -94.524344 35.94405, -94.52463999999999 35.945727, -94.52816199999999 35.965665, -94.52830499999999 35.966054, -94.532071 35.987852, -94.53364599999999 35.996804, -94.534852 36.002678, -94.535724 36.007807, -94.547715 36.077271, -94.547871 36.078281, -94.55218431116519 36.1022352237111, -94.561165 36.15211, -94.562803 36.161749, -94.5628279789527 36.161895177672, -94.56565499999999 36.178439, -94.566588 36.183774, -94.571253 36.210901, -94.571806 36.213748, -94.574395 36.229996, -94.57487999999999 36.232741, -94.57507099999999 36.233682, -94.576003 36.24007, -94.577899 36.249548, -94.577883 36.25008, -94.58620000000001 36.299969, -94.593397 36.345742, -94.599723 36.387587, -94.601984 36.40212, -94.60262299999999 36.405283, -94.605408 36.421949, -94.611609 36.461528, -94.61382999999999 36.476248, -94.61531099999999 36.484992, -94.617919 36.499414, -94.55928999999999 36.499496, -94.51947799999999 36.49921399999999, -94.11147299999999 36.498597, -94.11067299999999 36.498587, -94.100252 36.49867, -94.09858799999999 36.498676, -94.077089 36.49873, -93.96392 36.498717, -93.95918999999999 36.498717, -93.92183999999999 36.498718, -93.906128 36.498718, -93.86675809584749 36.49878851418489, -93.728022 36.499037, -93.727552 36.499055, -93.71889299999999 36.499178, -93.70995599999999 36.499179, -93.700171 36.499135, -93.5842819998356 36.498896002062, -93.58428099999999 36.49889599999999, -93.514512 36.498881, -93.507408 36.498911, -93.42698899999999 36.498585, -93.396079 36.498669, -93.394718 36.498519, -93.315337 36.498408, -93.31532440770368 36.4984079875384, -93.2961168634526 36.4983889793258, -93.088988 36.49818399999999, -93.08763499999999 36.498239, -93.06951199999999 36.498242, -93.068455 36.49825, -93.01374158381689 36.4981296499038, -92.894336 36.497867, -92.89400099999999 36.49785, -92.85404946684739 36.4979826282189, -92.838876 36.498033, -92.83862099999999 36.498079, -92.77234067857469 36.49777203556179, -92.77233299999999 36.497772, -92.5291450243943 36.4977393190609, -92.318415 36.497711, -92.30942399999999 36.497894, -92.21641199999999 36.498417, -92.21414299999999 36.498372, -92.211449 36.498395, -92.19939599999999 36.498351, -92.15029513654861 36.4986337152141, -92.13774099999999 36.498706, -92.12041497581239 36.498863012436, -92.120306 36.498864, -92.098356 36.498803, -92.074934 36.498761, -92.05717799999999 36.49867, -92.05578899999999 36.49867, -92.028847 36.498642, -92.019375 36.498524, -91.98875099999999 36.498498, -91.98580199999999 36.498431, -91.865995 36.498783, -91.864385 36.498789, -91.805981 36.498987, -91.80203999999999 36.498963, -91.79950000000001 36.498952, -91.784713 36.499074, -91.766111 36.499114, -91.726663 36.499209, -91.68761499999999 36.499397, -91.686026 36.499374, -91.672343 36.499463, -91.64259 36.49933499999999, -91.631439 36.499198, -91.60131699999999 36.499343, -91.59621299999999 36.499162, -91.54916299999999 36.499161, -91.53935899999999 36.499116, -91.53686999999999 36.499156, -91.52977399999999 36.499022, -91.45000497127849 36.4975382138986, -91.44628399999999 36.497469, -91.43650199999999 36.497377, -91.43329799999999 36.497262, -91.40726099999999 36.49712299999999, -91.40713699999999 36.497112, -91.405141 36.497165, -91.404915 36.49712, -91.22739799999999 36.497617, -91.218645 36.497564, -91.21736 36.497511, -91.12652899999999 36.497712, -91.096277 36.497893, -91.09587999999999 36.49787, -91.017974 36.498062, -91.00855799999999 36.49827, -90.96306299999999 36.498418, -90.96064799999999 36.49842599999999, -90.87921999999999 36.498378, -90.87686699999999 36.498423, -90.87656699999999 36.498313, -90.87377499999999 36.498074, -90.85043399999999 36.498548, -90.7843982380622 36.4985237150037, -90.782454 36.498523, -90.765672 36.498494, -90.711226 36.498318, -90.693005 36.49851, -90.653246 36.498488, -90.648494 36.498447, -90.612554 36.498559, -90.60544999999999 36.498459, -90.5943 36.498459, -90.585342 36.498497, -90.57617955600901 36.4984463732781, -90.57611199999999 36.498446, -90.50015999999999 36.498399, -90.49502699999999 36.498371, -90.494575 36.498368, -90.33989199999999 36.498213, -90.228943 36.497771, -90.2207319861011 36.49785768343759, -90.220702 36.497858, -90.21732299999999 36.497797, -90.19394299999999 36.497823, -90.15248099999999 36.497952, -90.154409 36.496832, -90.156369 36.487748, -90.13399299999999 36.437906, -90.072897 36.393007, -90.064514 36.382085, -90.06398 36.303038, -90.076301 36.280708, -90.083731 36.272332, -90.11492199999999 36.265595, -90.1987349122675 36.2013818353365, -90.22042499999999 36.184764, -90.31916799999999 36.089976, -90.36443 36.013625, -90.368718 35.995812, -90.34261599999999 35.995895, -90.339434 35.996033, -90.29237599999999 35.996397, -90.2889470498035 35.9964180953312, -90.28880000000001 35.996419, -90.158812 35.997375, -90.127331 35.997635, -90.12635 35.997596, -89.97256299999999 35.998994, -89.965327 35.998813, -89.96107499999999 35.999135, -89.95989299999999 35.99902, -89.95937699999999 35.99902, -89.9593753420007 35.9990200098294, -89.90118299999999 35.999365, -89.896508 35.999432, -89.875586 35.999562, -89.875085 35.999578, -89.87459 35.999575, -89.86901 35.99964, -89.77025499999999 36.000524, -89.76997299999999 36.000536, -89.73764799999999 36.000567, -89.73756399999999 36.000522, -89.73309499999999 36.000608, -89.71996999999999 35.97462, -89.68692399999999 35.947716, -89.68793873011531 35.9053841610902, -89.688141 35.896946, -89.714934 35.906247, -89.73361 35.904699, -89.75603599999999 35.896817, -89.76568899999999 35.891299, -89.771726 35.879724, -89.77356399999999 35.871697, -89.77246699999999 35.865098, -89.769413 35.861558, -89.74942399999999 35.852955, -89.729517 35.847632, -89.709261 35.838911, -89.702883 35.834153, -89.70104499999999 35.828227, -89.703875 35.820281, -89.82121599999999 35.756716, -89.86563099999999 35.74657699999999, -89.88902299999999 35.750558, -89.90553799999999 35.759063, -89.90999599999999 35.759396, -89.950278 35.738493, -89.956254 35.733386, -89.958882 35.723834, -89.955753 35.690621, -89.937383 35.665711, -89.922749 35.655293, -89.90614699999999 35.651145, -89.89050999999999 35.652408, -89.88493199999999 35.655107, -89.909797 35.537914, -89.933572 35.5332985, -89.957347 35.528683, -90.01731199999999 35.555996, -90.02861999999999 35.555249, -90.032938 35.55344, -90.039744 35.548041, -90.034976 35.480705, -90.0340137815854 35.46882149579501, -90.0476797176141 35.459255351168, -90.059067997638 35.4578887628617, -90.067798 35.466224, -90.072154 35.470752, -90.07441999999999 35.472518, -90.10772299999999 35.476935, -90.1523859103329 35.4367887439097, -90.16900199999999 35.421853, -90.179265 35.385194, -90.17834099999999 35.382092, -90.166246 35.374745, -90.14363299999999 35.374745, -90.13551 35.376668, -90.09358899999999 35.393333, -90.08961190459519 35.37984208171579, -90.0866913669922 35.3699351697266, -90.114893 35.303887, -90.15339399999999 35.302588, -90.158913 35.300637, -90.16381199999999 35.296115, -90.168871 35.281997, -90.16659399999999 35.274588, -90.15886499999999 35.262577, -90.15209399999999 35.255989, -90.140394 35.252289, -90.11649299999999 35.255788, -90.105093 35.254288, -90.09794699999999 35.249983, -90.07741 35.225479, -90.07426199999999 35.218316, -90.0733538436514 35.21100416502519, -90.064612 35.140621, -90.065392 35.137691, -90.08341999999999 35.12167, -90.09061 35.118287, -90.10059299999999 35.116691, -90.109393 35.118891, -90.14279399999999 35.135091, -90.16005799999999 35.12883, -90.174594 35.116682, -90.19385899999999 35.061646, -90.29559599999999 35.040093, -90.309877 35.00975, -90.309297 34.995694, -90.253969 34.954988, -90.24447599999999 34.937596, -90.250095 34.90732, -90.29391750335459 34.8605631964679, -90.307384 34.846195, -90.40796392369209 34.83276718715059, -90.41486399999999 34.831846, -90.423879 34.834606, -90.43643087175201 34.85505951178089, -90.4614508568406 34.856727506477, -90.47396083322309 34.852557503575, -90.47813083612509 34.8325415025747, -90.46728885443869 34.7825015162358, -90.4797988308212 34.7691575263434, -90.49481084773321 34.7674895316473, -90.50132499999999 34.769931, -90.5198308328218 34.7825015162358, -90.53734482561609 34.7841695270936, -90.54985483432219 34.7633195287453, -90.55485885073409 34.7274575296468, -90.5331748227141 34.7074415448083, -90.5098228323216 34.6899275520139, -90.5089888511354 34.6790855541657, -90.52149882751779 34.6632395560675, -90.53901285263579 34.65906955316539, -90.54985483432219 34.6624055587194, -90.56403282156259 34.6657415481116, -90.57654281410679 34.6574015584694, -90.57578599223319 34.641748628974, -90.57013290782061 34.5248290012197, -90.565809 34.4354, -90.57533599999999 34.415152, -90.61394399999999 34.390723, -90.658542 34.375705, -90.76414299999999 34.363396, -90.8563666519 34.238928081925, -90.8687747334896 34.2282453356147, -90.89474428550591 34.2299766226801, -90.911480202128 34.2230514296848, -90.9132115339272 34.21035522016, -90.8958984843384 34.1918879493718, -90.8808938547816 34.18034593867949, -90.8803167441819 34.1693810162201, -90.8930129984405 34.1555305854958, -90.91840543985701 34.1543763866633, -90.93456426824639 34.1301381440793, -90.9331155125315 34.1244880018446, -90.9319691661226 34.1200172548486, -90.9287932517168 34.1076311997441, -90.9120573127277 34.0955120784521, -90.8883961807435 34.0874326642574, -90.87916254534939 34.0655028193385, -90.887413 34.032505, -90.9647082999349 34.0079516713542, -91.01889 34.003151, -91.089119 33.972653, -91.08816399999999 33.960078, -91.036820865625 33.91465584599609, -91.067511 33.840443, -91.13986899999999 33.777117, -91.14468199999999 33.750108, -91.1361180053581 33.7286319846043, -91.12680479683389 33.7078142531002, -91.12790046467809 33.6957618643493, -91.13283100182569 33.6880921682076, -91.13995285342901 33.6837094862147, -91.1481703834927 33.67932680422179, -91.17610999844901 33.68425732013679, -91.1859710408953 33.67932680422179, -91.18871022112201 33.6694657617755, -91.1930928924986 33.6568655391026, -91.18651887481739 33.6459088288122, -91.1574835920169 33.62618675453589, -91.13044499999999 33.606034, -91.13404299999999 33.594489, -91.152148 33.582721, -91.224121 33.567369, -91.2282873089234 33.5599370266196, -91.23229499999999 33.552788, -91.215671 33.529423, -91.12510899999999 33.472842, -91.118495 33.449116, -91.131885 33.430063, -91.184427 33.419576, -91.141216 33.298397, -91.11056099999999 33.24593, -91.085984 33.221644, -91.08758899999999 33.145177, -91.12565599999999 33.038276, -91.1576622985969 33.01121671249579, -91.166073 33.004106, -91.265018 33.005084, -91.284398 33.005007, -91.312016 33.005262, -91.32250599999999 33.005341, -91.32503699999999 33.005364, -91.326396 33.005376, -91.32976699999999 33.005421, -91.333011 33.005529, -91.37601599999999 33.005794, -91.425466 33.006016, -91.43578199999999 33.006099, -91.46037009065169 33.0062462757305, -91.559494 33.00684, -91.57232599999999 33.006908, -91.579639 33.006472, -91.579802 33.006518, -91.60900099999999 33.006556, -91.617615 33.006717, -91.62666999999999 33.006639, -91.950001 33.00752, -91.95195799999999 33.007428, -92.06910499999999 33.008163, -92.222825 33.00908, -92.292664 33.010103, -92.335893 33.010349, -92.362865 33.010628, -92.37029 33.010717, -92.469762 33.01201, -92.50138299999999 33.01216, -92.503776 33.012161, -92.71128899999999 33.014307, -92.715884 33.014398, -92.723553 33.014328, -92.72474282953729 33.0143469910336, -92.724994 33.014351, -92.73319699999999 33.014347, -92.830798 33.015661, -92.84407299999999 33.016034, -92.844286 33.01607, -92.85416699999999 33.016132, -92.86751 33.016062, -92.94655299999999 33.016807, -92.971137 33.017192, -92.9887078142573 33.0172979025058, -93.07068599999999 33.017792, -93.073167 33.017898, -93.081428 33.017928, -93.10098099999999 33.017786, -93.10144299999999 33.01774, -93.15435099999999 33.017856, -93.197402 33.017951, -93.238607 33.017992, -93.30818099999999 33.018156, -93.308398 33.018179, -93.34035299999999 33.018337, -93.377134 33.018234, -93.46704199999999 33.018611, -93.48950599999999 33.018443, -93.4905199755506 33.0184422689434, -93.490893 33.018442, -93.52097099999999 33.018616, -93.52099399934829 33.01861612243, -93.52491599999999 33.018637, -93.531499 33.018643, -93.8049300251979 33.019347216218, -93.81455299999999 33.019372, -94.024475 33.019207, -94.02798299999999 33.019139, -94.035839 33.019145, -94.041444 33.019188, -94.042964 33.019219))"
